Time,Sec,Z,Y,X
1742146064358757400,0.09675732421875,2.0961127281188965,9.472586631774902,0.4612165689468384
1742146064375236000,0.113236083984375,2.2163519859313965,9.362516403198242,0.26081767678260803
1742146064391875800,0.129875732421875,2.5561327934265137,9.482755661010742,0.26500511169433594
1742146064408512300,0.14651220703125,2.3054845333099365,9.631111145019531,0.4127618968486786
1742146064425131300,0.16313134765625,2.256431818008423,9.803394317626953,0.35054850578308105
1742146064441771300,0.179771240234375,2.338984251022339,9.68375301361084,0.2835494875907898
1742146064458405600,0.196405517578125,2.3545374870300293,9.477970123291016,0.3032902777194977
1742146064475028500,0.213028564453125,2.3264217376708984,9.391230583190918,0.32243284583091736
1742146064491672600,0.229672607421875,2.2540390491485596,9.506086349487305,0.3415754437446594
1742146064508291800,0.246291748046875,2.2540390491485596,9.515657424926758,0.2602194547653198
1742146064524903700,0.262903564453125,2.242672920227051,9.726225852966309,0.2027917206287384
1742146064541547000,0.279547119140625,2.324028968811035,9.702896118164062,0.2883351147174835
1742146064558167800,0.296167724609375,2.2677977085113525,9.57787036895752,0.28893333673477173
1742146064574803500,0.312803466796875,2.2199411392211914,9.568299293518066,0.29371899366378784
1742146064591424800,0.3294248046875,2.2438695430755615,9.520442962646484,0.2745763957500458
1742146064608064000,0.34606396484375,2.258824586868286,9.46301555633545,0.23210379481315613
1742146064624705000,0.362705078125,2.142772674560547,9.616155624389648,0.3032902777194977
1742146064641332200,0.379332275390625,2.4777679443359375,9.66939640045166,0.259621262550354
1742146064657959400,0.39595947265625,2.1571295261383057,9.64965534210205,0.2841476798057556
1742146064674591500,0.412591552734375,2.290529489517212,9.674181938171387,0.2267199456691742
1742146064691215600,0.429215576171875,2.252842426300049,9.616155624389648,0.15972091257572174
1742146064707852500,0.4458525390625,2.2911276817321777,9.611370086669922,0.20757736265659332
1742146064724477200,0.462477294921875,2.3300111293792725,9.578469276428223,0.3128615617752075
1742146064741108500,0.4791083984375,2.3497519493103027,9.510871887207031,0.25064817070961
1742146064757729800,0.495729736328125,2.4017956256866455,9.530014038085938,0.16450655460357666
1742146064774372400,0.512372314453125,2.3772692680358887,9.592227935791016,0.030508488416671753
1742146064790992100,0.5289921875,2.3096721172332764,9.640084266662598,-0.031106693670153618
1742146064807627800,0.545627685546875,2.132603168487549,9.644271850585938,-0.08374879509210587
1742146064824249000,0.5622490234375,2.138585329055786,9.495916366577148,-0.0975075215101242
1742146064840871200,0.57887109375,2.2301106452941895,9.462417602539062,-0.07357929646968842
1742146064857498600,0.59549853515625,2.35872483253479,9.553942680358887,-0.09810572862625122
1742146064874128000,0.6121279296875,2.2193429470062256,9.553942680358887,-0.05024927482008934
1742146064890755600,0.628755615234375,2.1003000736236572,9.491728782653809,0.09810572862625122
1742146064907388700,0.645388671875,1.9621145725250244,9.448060035705566,0.24646073579788208
1742146064924013600,0.662013671875,1.7270197868347168,9.476774215698242,0.20398813486099243
1742146064940665300,0.678665283203125,1.831107497215271,9.625128746032715,0.2560320198535919
1742146064957283800,0.695283935546875,1.954936146736145,9.711869239807129,0.3367897868156433
1742146064973922000,0.711922119140625,2.1744775772094727,9.832108497619629,0.40797626972198486
1742146064990549500,0.728549560546875,2.283949136734009,9.970891952514648,0.3978067636489868
1742146065007171000,0.745171142578125,2.1589243412017822,10.047462463378906,0.45523449778556824
1742146065023793700,0.761793701171875,2.063809633255005,9.903892517089844,0.46061834692955017
1742146065040419600,0.778419677734375,1.9561325311660767,9.640084266662598,0.4181457459926605
1742146065057049600,0.795049560546875,2.0093727111816406,9.506086349487305,0.40378883481025696
1742146065073671200,0.811671142578125,2.1104695796966553,9.472586631774902,0.40378883481025696
1742146065090306000,0.82830615234375,2.1774685382843018,9.46301555633545,0.4181457459926605
1742146065106945000,0.844945068359375,2.152942180633545,9.544371604919434,0.28893333673477173
1742146065123573200,0.8615732421875,2.042274236679077,9.597013473510742,0.3032902777194977
1742146065140219600,0.8782197265625,1.978864312171936,9.750154495239258,0.28893333673477173
1742146065156831000,0.8948310546875,2.021935224533081,9.793225288391113,0.3888336718082428
1742146065173478700,0.911478759765625,2.0512471199035645,9.707083702087402,0.32721850275993347
1742146065190091300,0.92809130859375,2.1577277183532715,9.54915714263916,0.19800607860088348
1742146065206747100,0.9447470703125,2.1828525066375732,9.415159225463867,0.3038884699344635
1742146065223350000,0.96135009765625,2.091326951980591,9.486943244934082,0.4468596279621124
1742146065248301300,0.98630126953125,2.132603168487549,9.745966911315918,0.42711883783340454
1742146065264931800,1.002931884765625,2.204986095428467,9.64965534210205,0.43190449476242065
1742146065281559800,1.019559814453125,2.181057929992676,9.597013473510742,0.3080759048461914
1742146065298189600,1.036189453125,2.204986095428467,9.635298728942871,0.15972091257572174
1742146065314818600,1.052818603515625,2.3054845333099365,9.611370086669922,0.32721850275993347
1742146065331432000,1.069431884765625,1.9387845993041992,9.419944763183594,0.5856433510780334
1742146065348050000,1.0860498046875,2.282752752304077,9.525827407836914,0.42771705985069275
1742146065364693200,1.102693359375,2.2199411392211914,9.56351375579834,0.3367897868156433
1742146065381322000,1.119322021484375,2.4598217010498047,9.535398483276367,0.40797626972198486
1742146065397952300,1.1359521484375,2.249253273010254,9.4390869140625,0.24646073579788208
1742146065414580500,1.15258056640625,2.239083766937256,9.558728218078613,0.19800607860088348
1742146065431227100,1.16922705078125,2.3676979541778564,9.64965534210205,0.18843477964401245
1742146065447849200,1.18584912109375,2.435295343399048,9.559326171875,0.25064817070961
1742146065464487700,1.20248779296875,2.3198416233062744,9.601799011230469,0.29371899366378784
